#Present in minus of 3 samples	Abundance < 5e-05	Present in databank of contaminants
Cluster_1701	Cluster_1662	
Cluster_1706	Cluster_1667	
Cluster_1714	Cluster_1674	
Cluster_1715	Cluster_1679	
Cluster_1716	Cluster_1685	
Cluster_1719	Cluster_1688	
Cluster_1733	Cluster_1692	
Cluster_1734	Cluster_1701	
Cluster_1738	Cluster_1706	
Cluster_1749	Cluster_1714	
Cluster_1753	Cluster_1715	
Cluster_1759	Cluster_1716	
Cluster_1763	Cluster_1719	
Cluster_1768	Cluster_1733	
Cluster_1775	Cluster_1734	
Cluster_1777	Cluster_1738	
Cluster_1779	Cluster_1749	
Cluster_1793	Cluster_1753	
Cluster_1794	Cluster_1759	
Cluster_1795	Cluster_1763	
Cluster_1809	Cluster_1768	
Cluster_1815	Cluster_1775	
Cluster_1825	Cluster_1777	
Cluster_1832	Cluster_1779	
Cluster_1834	Cluster_1793	
Cluster_1839	Cluster_1794	
Cluster_1843	Cluster_1795	
Cluster_1853	Cluster_1809	
Cluster_1858	Cluster_1815	
Cluster_1862	Cluster_1825	
Cluster_1874	Cluster_1832	
Cluster_1889	Cluster_1834	
Cluster_1897	Cluster_1839	
Cluster_1898	Cluster_1843	
Cluster_1901	Cluster_1853	
Cluster_1902	Cluster_1858	
Cluster_1905	Cluster_1862	
Cluster_1922	Cluster_1874	
Cluster_1929	Cluster_1889	
Cluster_1939	Cluster_1897	
Cluster_1943	Cluster_1898	
Cluster_1948	Cluster_1901	
Cluster_1952	Cluster_1902	
Cluster_1954	Cluster_1905	
Cluster_1970	Cluster_1922	
Cluster_1971	Cluster_1929	
Cluster_1982	Cluster_1939	
Cluster_1989	Cluster_1943	
Cluster_1991	Cluster_1948	
Cluster_2007	Cluster_1952	
Cluster_2012	Cluster_1954	
Cluster_2025	Cluster_1970	
Cluster_2032	Cluster_1971	
Cluster_2034	Cluster_1978	
Cluster_2042	Cluster_1982	
Cluster_2065	Cluster_1989	
Cluster_2066	Cluster_1991	
Cluster_2071	Cluster_2007	
Cluster_2099	Cluster_2012	
Cluster_2103	Cluster_2025	
Cluster_2104	Cluster_2032	
Cluster_2107	Cluster_2034	
Cluster_2123	Cluster_2042	
Cluster_2126	Cluster_2065	
Cluster_2131	Cluster_2066	
Cluster_2139	Cluster_2071	
Cluster_2147	Cluster_2099	
Cluster_2150	Cluster_2103	
Cluster_2169	Cluster_2104	
Cluster_2181	Cluster_2107	
Cluster_2185	Cluster_2123	
Cluster_2192	Cluster_2126	
Cluster_2194	Cluster_2131	
Cluster_2196	Cluster_2139	
Cluster_2203	Cluster_2147	
Cluster_2219	Cluster_2150	
Cluster_2232	Cluster_2169	
Cluster_2236	Cluster_2181	
Cluster_2242	Cluster_2185	
Cluster_2243	Cluster_2192	
Cluster_2246	Cluster_2194	
Cluster_2250	Cluster_2196	
Cluster_2263	Cluster_2203	
Cluster_2264	Cluster_2219	
Cluster_2270	Cluster_2232	
Cluster_2278	Cluster_2236	
Cluster_2294	Cluster_2242	
Cluster_2296	Cluster_2243	
Cluster_2307	Cluster_2246	
Cluster_2309	Cluster_2250	
Cluster_2312	Cluster_2263	
Cluster_2317	Cluster_2264	
Cluster_2327	Cluster_2270	
Cluster_2333	Cluster_2278	
Cluster_2342	Cluster_2294	
Cluster_2352	Cluster_2296	
Cluster_2354	Cluster_2307	
Cluster_2360	Cluster_2309	
Cluster_2365	Cluster_2312	
Cluster_2366	Cluster_2317	
Cluster_2376	Cluster_2327	
Cluster_2391	Cluster_2333	
Cluster_2393	Cluster_2342	
Cluster_2397	Cluster_2352	
Cluster_2409	Cluster_2354	
Cluster_2416	Cluster_2360	
Cluster_2434	Cluster_2365	
Cluster_2439	Cluster_2366	
Cluster_2445	Cluster_2376	
Cluster_2451	Cluster_2391	
Cluster_2462	Cluster_2393	
Cluster_2467	Cluster_2397	
Cluster_2480	Cluster_2409	
Cluster_2501	Cluster_2416	
Cluster_2502	Cluster_2434	
Cluster_2508	Cluster_2439	
Cluster_2520	Cluster_2445	
Cluster_2521	Cluster_2451	
Cluster_2522	Cluster_2462	
Cluster_2532	Cluster_2467	
Cluster_2548	Cluster_2480	
Cluster_2552	Cluster_2501	
Cluster_2553	Cluster_2502	
Cluster_2554	Cluster_2506	
Cluster_2564	Cluster_2508	
Cluster_2579	Cluster_2520	
Cluster_2592	Cluster_2521	
Cluster_2594	Cluster_2522	
Cluster_2610	Cluster_2532	
Cluster_2613	Cluster_2548	
Cluster_2618	Cluster_2552	
Cluster_2625	Cluster_2553	
Cluster_2635	Cluster_2554	
Cluster_2640	Cluster_2564	
Cluster_2650	Cluster_2579	
Cluster_2652	Cluster_2592	
Cluster_2658	Cluster_2594	
Cluster_2661	Cluster_2610	
Cluster_2666	Cluster_2613	
Cluster_2677	Cluster_2618	
Cluster_2684	Cluster_2625	
Cluster_2692	Cluster_2635	
Cluster_2697	Cluster_2640	
